,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
211,올 스킬 마스터,판타지,빈형,"1,357.2만","전체 5,791",전체 250,22.09.13,23.02.25,9.4
212,삼국지 원가의 망나니 대공자,판타지,레니sh,15.7만,전체 137,전체 142,24.04.30,24.06.26,9.3
213,게임 속 마법사는 현실에서 보상받는다,판타지,고서귀,4.8만,전체 4,전체 223,24.06.14,24.06.26,9.8
214,이번 생은 황제로 살겠다,판타지,Stay,260.9만,전체 903,전체 220,23.03.18,23.09.01,9.4
215,아카데미 속 발암캐가 되었다,판타지,리따이영,191.1만,"전체 3,074",전체 344,23.06.05,24.06.26,9.7
216,나 혼자 회귀랭커,판타지,토생팬,242.6만,전체 891,전체 199,21.11.22,21.12.06,9.5
217,전생하니 시어머니가 29명,판타지,간절히,184.8만,"전체 4,811",전체 216,22.06.17,22.11.28,9.9
218,지옥에서 독식,판타지,코기베어,"3,111.3만",전체 1.7만,전체 346,18.09.14,19.06.23,9.4
219,19금,판타지,19금,19금,19금,19금,19금,19금,19금
220,서리명가 검술천재로 회귀했다,판타지,진유(眞鍮),719.9만,"전체 3,604",전체 317,22.08.22,23.10.04,9.5
221,이 우주는 고인물이 필요해요,판타지,대형수상함,3.2만,전체 13,전체 200,24.02.22,24.02.28,10.0
222,삼국지 : 공손속이 누구야?,판타지,날여우,22.6만,전체 87,전체 300,23.06.27,23.10.13,9.1
223,데몬 소드,판타지,백수귀족,253만,"전체 5,365",전체 241,21.03.09,21.09.10,9.9
224,먼치킨의 귀환 라이프,판타지,델리케,"2,137.7만",전체 2.1만,전체 277,20.05.27,21.04.08,9.8
225,혼술사 도로테아,판타지,세이료우,995.7만,전체 1.1만,전체 330,21.11.21,23.06.26,9.9
226,19금,판타지,19금,19금,19금,19금,19금,19금,19금
227,귀환자의 마법은 특별해야 합니다,판타지,유소난,"6,773.2만",전체 3.3만,전체 338,18.05.19,23.11.24,9.8
228,대장장이는 네크로맨서가 되었다,판타지,투곰대디,1.8만,전체 16,전체 64,24.06.12,24.06.26,10.0
229,경험치가 계속 올라[완결],판타지,호종이,566.9만,"전체 3,388",전체 240,18.07.02,18.07.02,9.5
230,만마의 어머니,판타지,녹언,38.7만,전체 604,전체 182,24.02.20,24.06.26,9.9
231,총통께서 마도 사관학교를 독재하러 오셨다,판타지,섭생,28.2만,전체 252,전체 139,24.03.26,24.06.26,8.9
232,혼자 다 해 먹는 먼치킨,판타지,베데스,"3,537.1만",전체 1.7만,전체 391,17.11.01,18.08.01,9.8
233,미러월드:운명회귀,판타지,팔숨,673.3만,"전체 9,584",전체 455,21.09.17,23.01.06,9.7
234,검신이 돌아왔다,판타지,김판,35.2만,전체 88,전체 175,22.07.29,22.08.31,9.8
