,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1284,악당을 바르게 키워보겠습니다,로맨스판타지,한나비,93.8만,전체 998,전체 105,24.06.03,24.06.26,9.8
1285,악녀 부활 24시,로맨스판타지,리사벨,979만,전체 1.3만,전체 195,21.12.31,24.06.04,9.8
1286,아기용이 공작가를 살림,로맨스판타지,설이린,331.2만,"전체 3,386",전체 185,23.12.02,24.06.08,9.8
1287,왕은 길 위에서 태어난다,로맨스판타지,이보라,"1,199만",전체 1.7만,전체 239,22.07.02,23.03.11,10.0
1288,그 쓰레기가 나였어요,로맨스판타지,꿀이흐르는,318.1만,"전체 3,023",전체 181,24.02.16,24.06.17,9.5
1289,남주의 엄마가 되어버렸다,로맨스판타지,고은채,"3,903만",전체 6.4만,전체 221,19.11.16,20.12.10,10.0
1290,사랑받는 막내는 처음이라,로맨스판타지,미래나비,"1,806.9만",전체 1.4만,전체 258,21.01.28,24.03.06,10.0
1291,K-장녀가 육아물에 빙의하면,로맨스판타지,치즈와플,526.5만,"전체 4,342",전체 206,22.06.11,23.10.23,9.8
1292,악당들에게 키워지는 중입니다,로맨스판타지,자은향,"4,335.3만",전체 3만,전체 186,22.02.28,23.06.07,9.9
1293,폭군에게 차이는 10가지 방법,로맨스판타지,서귀조,858.6만,전체 1.1만,전체 162,20.11.04,23.07.06,9.9
1294,천하제일 가문으로 키우겠습니다,로맨스판타지,자여경,230.8만,"전체 1,676",전체 200,24.01.14,24.06.26,9.8
1295,겨울성의 아기 죄수님,로맨스판타지,류희온,"1,525.6만",전체 1.2만,전체 233,23.01.12,24.02.04,9.9
1296,던전 호텔에 오신 것을 환영합니다,로맨스판타지,이그나르,"2,385.9만",전체 2.7만,전체 385,22.07.11,24.05.14,9.9
1297,입양된 며느리는 파양을 준비합니다,로맨스판타지,채유화,"4,688.1만",전체 3.3만,전체 311,21.02.28,23.10.31,9.9
1298,악녀의 회귀는 저주와 함께한다,로맨스판타지,몬들러,4만,전체 94,전체 82,24.06.25,24.06.27,9.7
1299,이 가문은 막내가 살립니다,로맨스판타지,마랭,"1,029.6만","전체 5,041",전체 289,23.06.30,24.06.25,9.8
1300,이 결혼은 반드시 성공합니다,로맨스판타지,마지노선,"1,535.5만",전체 1.2만,전체 311,23.01.06,24.01.17,9.9
1301,최강자 오빠가 기억을 잃었다,로맨스판타지,유나진,"2,971.4만",전체 2만,전체 256,23.06.02,23.11.09,9.8
1302,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1303,진짜 성녀님을 찾습니다,로맨스판타지,리르엔,42.7만,전체 430,전체 106,24.06.11,24.06.27,9.5
1304,최강자 공작님의 하나뿐인 손녀딸입니다,로맨스판타지,김노랑,276.6만,"전체 1,695",전체 199,24.01.26,24.06.07,9.6
1305,피폐 역하렘 남주들의 막내 처제가 되었다,로맨스판타지,매드럼,311.5만,"전체 2,842",전체 202,23.07.06,24.03.12,9.9
1306,돈으로 약혼자를 키웠습니다,로맨스판타지,연서나,"3,983.6만",전체 3.7만,전체 213,19.11.06,24.01.01,9.9
1307,힘을 숨기고 즐기는 평화로운 하녀 생활,로맨스판타지,박귀리,"2,270.3만",전체 2.6만,전체 202,22.09.06,23.12.27,10.0
1308,버림받은 황자의 유령 신부,로맨스판타지,현솔,408만,"전체 3,248",전체 166,23.08.07,24.01.30,9.8
1309,녹음의 관,로맨스판타지,시야,"8,902.1만",전체 5.4만,전체 154,17.12.29,19.01.04,9.9
1310,집착 황제의 유능한 약사입니다,로맨스판타지,솔깃,320.7만,"전체 5,387",전체 159,22.01.08,24.05.29,9.7
1311,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1312,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1313,곧 망할 가문의 계약직 딸이 되었다,로맨스판타지,하라쇼,559.2만,"전체 4,848",전체 133,22.08.26,24.05.04,9.9
1314,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1315,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1316,남주가 내 후원을 좋아해!,로맨스판타지,주예령,348.8만,"전체 7,778",전체 150,21.08.16,23.11.28,9.9
1317,반려견이 반려를 물어옴,로맨스판타지,온나달,57.8만,전체 643,전체 122,24.05.28,24.06.27,9.7
1318,황제궁 옆 마로니에 농장,로맨스판타지,정연,"6,194.9만",전체 6.7만,전체 271,17.12.20,22.05.28,10.0
1319,여주인공에게 내 몸을 빼앗겼다,로맨스판타지,정마카롱,10.6만,전체 181,전체 88,24.06.20,24.06.26,9.7
1320,악녀는 마리오네트,로맨스판타지,한이림,"7,165만",전체 4.2만,전체 210,18.12.07,22.10.23,9.9
1321,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1322,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1323,모용세가의 사라진 딸이 돌아왔다,로맨스판타지,홍세우,"1,596.7만",전체 1.3만,전체 334,21.04.20,23.01.29,9.8
1324,언니는 여동생을 바르게 키워야 합니다,로맨스판타지,독연,"1,236.1만",전체 1.2만,전체 190,22.01.13,24.02.19,9.8
1325,토끼와 흑표범의 공생관계,로맨스판타지,야식먹는중,"6,407.8만",전체 7.4만,전체 186,19.11.30,23.10.08,10.0
1326,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1327,독고세가의 멸문을 막아 보겠습니다,로맨스판타지,명초,112.9만,"전체 1,151",전체 211,24.02.02,24.06.26,9.7
1328,에리카 - 친구가 내게 집착할 때,로맨스판타지,제늬,"1,041.8만",전체 1.2만,전체 155,23.07.18,23.10.14,9.9
1329,여주가 내 약혼자와 바람났다,로맨스판타지,설이린,"2,477.1만",전체 2.7만,전체 214,22.01.28,23.09.01,9.9
1330,후회물 악녀는 이혼해서 행복합니다,로맨스판타지,모예리,431.2만,"전체 5,191",전체 147,22.06.27,24.04.29,9.8
1331,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1332,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1333,악녀는 대공을 사로잡았다,로맨스판타지,뺩,"1,676만",전체 1.7만,전체 232,20.09.14,24.02.24,9.9
1334,가짜 아내에게 왜 집착하세요?,로맨스판타지,DD,"2,454.2만",전체 2.1만,전체 146,21.08.22,23.08.01,9.9
1335,악녀님의 최애로 간택된 사정,로맨스판타지,Rana,"1,443만","전체 9,320",전체 187,23.08.31,24.01.26,9.8
1336,친구끼리 이러는 거 아니야,로맨스판타지,쟈화,"1,910.5만",전체 2.1만,전체 188,21.02.03,23.11.19,9.9
1337,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1338,"이번 생은 제대로 키워 드리겠습니다, 폐하!",로맨스판타지,자하,"1,486.8만",전체 1.8만,전체 310,20.06.29,22.12.11,9.9
1339,내 애인은 여주한테 관심 없다고요!,로맨스판타지,세룰리안블루,242.8만,"전체 5,595",전체 300,23.07.11,24.06.27,9.7
1340,내 남자 주인공을 지키는 방법,로맨스판타지,서리하,801.8만,"전체 8,339",전체 297,20.09.30,24.05.18,9.8
1341,남주가 제 건강에 집착합니다,로맨스판타지,윤슬,525.1만,"전체 4,969",전체 279,23.10.06,24.06.25,9.6
1342,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1343,대공비가 된 마탑주,로맨스판타지,라스cca,248.6만,"전체 1,859",전체 237,22.09.21,24.04.18,9.8
1344,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1345,여왕님 안 돼요!,로맨스판타지,자야,950.5만,전체 1.6만,전체 195,19.02.18,22.02.09,10.0
1346,꽃을 피우는 아기 가주님,로맨스판타지,은려원,"1,634.5만",전체 1.1만,전체 234,21.05.12,23.09.30,9.9
1347,중부 황제,로맨스판타지,투머치텐션,108.7만,"전체 2,365",전체 128,23.12.25,24.02.15,10.0
1348,시그리드 [단행본],로맨스판타지,시야,42.4만,전체 109,전체 6,17.07.19,17.07.19,9.9
1349,악역 소녀는 사랑받기가 부끄러워요,로맨스판타지,류희온,"1,599만",전체 1.6만,전체 249,21.03.12,23.02.17,9.9
1350,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1351,지속 가능한 방탕함을 위하여,로맨스판타지,단리한,96.1만,전체 684,전체 158,24.04.08,24.06.24,9.7
1352,[오디오드라마] 주치의는 할 일 다 하고 사표 씁니다,로맨스판타지,유나진,72만,"전체 1,519",전체 99,22.05.05,22.06.04,10.0
1353,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1354,사천당가의 시비로 살아남기,로맨스판타지,Molae,"3,044.3만",전체 3.3만,전체 352,22.12.22,24.05.02,9.9
1355,네가 나를 좋아했으면 해,로맨스판타지,박귀리,267.3만,"전체 2,698",전체 131,24.03.22,24.04.26,9.8
1356,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1357,브리움 가문의 가짜 영애,로맨스판타지,세이료우,124.6만,"전체 1,811",전체 327,22.11.21,24.06.26,10.0
1358,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1359,던전 24시 찜질방,로맨스판타지,강포스,182.9만,"전체 1,782",전체 176,24.02.20,24.06.16,9.8
1360,아기 다람쥐가 다 잘해요,로맨스판타지,군청주단,"1,497.4만",전체 1.2만,전체 230,21.06.20,22.09.22,9.7
1361,전 그냥 내 집 마련이 꿈인데요?,로맨스판타지,여로은,748.6만,전체 1.3만,전체 124,22.07.29,22.09.11,9.8
1362,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1363,막내가 뭔갈 많이 숨김,로맨스판타지,유유니,"2,088.7만",전체 1.4만,전체 274,23.09.15,24.02.12,9.9
1364,악녀는 조용히 살고 싶습니다,로맨스판타지,젤리구미베어,248.9만,"전체 2,190",전체 172,23.09.04,23.12.22,9.4
1365,흑화하는 서브 남주의 아내랍니다,로맨스판타지,김뽀삐,"1,380.8만",전체 1.9만,전체 177,19.11.23,23.06.28,9.9
1366,아도니스,로맨스판타지,혜돌이,2억,전체 15만,전체 614,15.07.30,18.09.09,9.9
1367,튜린의 릴리엔,로맨스판타지,나유혜,"3,300.2만",전체 2.7만,전체 165,19.05.31,21.10.30,9.9
1368,이거 전략게임 아니었나요,로맨스판타지,윤점례,194.9만,"전체 5,142",전체 167,21.12.07,24.06.15,9.9
1369,괴도인데 수사관과 위장결혼해 버렸다,로맨스판타지,차보리,732만,"전체 7,459",전체 192,23.08.20,23.09.17,10.0
1370,시한부를 즐겼을 뿐이었는데 [단행본],로맨스판타지,다나,2.8만,전체 9,전체 7,24.06.05,24.06.05,10.0
1371,악녀는 두 번 산다,로맨스판타지,한민트,"8,474.1만",전체 7.5만,전체 333,18.02.16,20.06.05,9.9
1372,황녀가 깽판 침,로맨스판타지,박귀리,941.6만,전체 1.1만,전체 176,21.02.10,23.08.29,9.9
1373,악당의 아빠를 꼬셔라,로맨스판타지,달슬,"8,331.8만",전체 6.6만,전체 189,18.06.21,20.04.04,9.9
1374,대공가 시집살이 너무 쉬운데요,로맨스판타지,센리,693.7만,"전체 6,080",전체 190,21.12.16,23.05.13,9.8
1375,아기 마님은 복수 메이커,로맨스판타지,리사벨,"2,676.5만",전체 2.4만,전체 251,21.01.22,24.01.29,9.9
1376,목표는 자수성가입니다,로맨스판타지,김다함,"1,246.4만",전체 1.1만,전체 167,20.08.14,22.05.17,9.9
1377,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1378,오작교는 싫습니다 [완결],로맨스판타지,살오른 곱등이,"3,960.2만",전체 7.3만,전체 229,18.10.10,22.12.04,10.0
1379,아기 털 뭉치들이 나만 따라다님,로맨스판타지,로미유,23만,전체 255,전체 115,24.05.09,24.06.26,9.9
1380,나의 아이가 죽었다,로맨스판타지,쥐똥새똥,146.4만,"전체 1,134",전체 149,24.01.08,24.04.26,9.6
1381,남주의 여자사람친구가 되었다,로맨스판타지,햇살수인,"1,319.1만",전체 1.4만,전체 210,20.11.20,23.03.08,9.7
1382,집착은 사양합니다 [단행본],로맨스판타지,윤여음,"1,068",전체 3,전체 6,24.06.26,24.06.26,10.0
1383,"죽어 줘, 라는 말을 들었다",로맨스판타지,박귀리,591.4만,"전체 4,793",전체 178,23.05.05,23.11.22,9.7
1384,"악당 남편과 이혼하려는데, 아이가 생겼다",로맨스판타지,백단,"1,469.4만",전체 1.4만,전체 193,20.11.02,22.09.24,9.8
1385,먼치킨 길들이기[완결],로맨스판타지,밀차,823.2만,전체 1.5만,전체 149,20.01.04,23.06.27,9.9
1386,수상한 호구를 주우면,로맨스판타지,서가린,190.4만,"전체 1,769",전체 163,23.05.16,23.08.23,9.7
1387,남주의 망나니 상사로 빙의했다,로맨스판타지,정오찬,113.3만,전체 891,전체 120,24.05.20,24.06.25,9.5
1388,빙의한 악녀가 깽판 침,로맨스판타지,은효원,183.5만,"전체 2,131",전체 217,24.01.10,24.06.27,9.8
1389,후원이 필요합니다,로맨스판타지,윤여음,"1,682.5만",전체 2만,전체 189,19.09.14,22.07.06,9.9
1390,당신의 이해를 돕기 위하여,로맨스판타지,이보라,"9,656.9만",전체 9.7만,전체 181,19.09.28,23.04.07,10.0
1391,이물질은 나였다,로맨스판타지,권겨을,883.2만,"전체 6,961",전체 255,23.04.16,24.01.13,9.5
1392,악역의 딸은 가출을 계획합니다,로맨스판타지,바다C,829.3만,"전체 6,482",전체 210,22.02.06,24.03.25,9.8
1393,공포게임 남주와 감금당했다,로맨스판타지,플랑비,706.9만,"전체 9,160",전체 193,22.12.24,24.04.20,9.8
1394,악녀 언니가 재력을 숨김,로맨스판타지,진세하,"1,116.8만","전체 5,723",전체 179,23.04.14,24.01.25,9.4
1395,시한부라서 흑막의 며느리가 되었는데,로맨스판타지,유나진,"3,631.8만",전체 3.8만,전체 182,20.12.04,23.08.20,9.9
1396,엔젤릭 레이디,로맨스판타지,수수,"2,509만",전체 2.4만,전체 235,19.06.20,24.02.13,9.9
1397,일단 가족후회물에서 탈주했다,로맨스판타지,문밀화,111.3만,"전체 1,765",전체 187,23.04.27,24.05.19,9.9
1398,흑막의 독 감별사가 되겠습니다,로맨스판타지,네모라밍,601.1만,전체 1.1만,전체 204,22.01.06,23.11.03,9.9
1399,공무원 헌터의 S급 퇴사일지,로맨스판타지,녹타,"2,060.8만",전체 2.6만,전체 306,21.05.02,24.02.08,9.9
1400,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1401,각인까지 할 생각은 없었는데요,로맨스판타지,홍저리,62만,전체 397,전체 120,24.01.11,24.04.04,9.7
1402,여주의 첫사랑을 빼앗아 버렸다,로맨스판타지,파란맛쿠키,808.2만,전체 1.1만,전체 190,22.06.18,23.08.31,9.6
1403,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1404,엄마가 계약결혼 했다 [단행본],로맨스판타지,시야,15.4만,전체 13,전체 6,22.12.24,22.12.24,9.4
1405,악녀의 정의,로맨스판타지,주해온,"5,175.4만",전체 2.8만,전체 232,16.07.29,20.03.21,9.7
1406,이세계의 다차원 칵테일 바,로맨스판타지,그레이프피자,79.1만,"전체 1,242",전체 142,24.05.06,24.06.26,9.9
1407,아카데미의 두 번 사는 네크로맨서,로맨스판타지,그린글,11.2만,전체 171,전체 98,24.06.18,24.06.26,9.9
1408,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1409,세계수의 사랑을 받는 정원사가 되었다,로맨스판타지,ED,197.8만,"전체 1,489",전체 144,23.12.06,24.02.24,9.5
1410,"아 하세요, 금수저 들어갑니다",로맨스판타지,포르토피노,"2,796.9만",전체 3.9만,전체 217,19.07.26,21.08.29,9.8
1411,미래에서 만나요 [단독선공개],로맨스판타지,윤여음,632.4만,전체 1.1만,전체 109,17.03.03,24.06.25,9.8
1412,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1413,천적을 키워 보도록 하겠습니다,로맨스판타지,KEN,93.9만,"전체 1,781",전체 163,24.03.14,24.06.26,9.9
1414,오빠를 위해 남주를 꼬셔 보겠습니다,로맨스판타지,양과람,760.4만,"전체 7,860",전체 137,21.11.30,23.05.25,9.8
1415,내 남자 주인공의 아내가 되었다,로맨스판타지,겨울잎,"3,819.9만",전체 2.9만,전체 189,18.08.31,23.06.02,9.9
1416,흑막의 어린 후원자,로맨스판타지,리아란,992.6만,"전체 7,868",전체 185,21.07.24,22.11.27,9.8
1417,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1418,물질만능주의 공녀님,로맨스판타지,한이림,559.6만,전체 1.4만,전체 110,19.01.04,19.07.04,9.9
1419,후회물 여주인데 멘탈이 너무 강함,로맨스판타지,여로은,833.2만,"전체 6,108",전체 156,23.07.03,24.03.27,9.9
1420,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1421,남주? 줘도 안 가져요,로맨스판타지,산소비,"1,631.7만",전체 3.9만,전체 160,19.02.24,19.07.24,9.9
1422,101번째 고백,로맨스판타지,현솔,439.2만,"전체 4,885",전체 171,22.04.13,24.04.28,9.4
1423,전생의 원수가 아빠라고요? [완결],로맨스판타지,라비올리,862.3만,전체 1.1만,전체 196,21.05.26,21.09.26,9.9
1424,서브 남주네 기사단장입니다,로맨스판타지,시야,"2,252.9만",전체 2.1만,전체 257,20.10.02,20.12.30,9.9
1425,시한부 연인과 비혼 생활 중입니다,로맨스판타지,연서나,971.8만,전체 1.4만,전체 176,21.05.22,24.02.11,9.9
1426,폭군 아빠들 때문에 폐업합니다,로맨스판타지,하라쇼,447.4만,전체 1.2만,전체 150,21.02.12,21.05.16,9.9
1427,사망 집착 엔딩은 싫습니다,로맨스판타지,청파도,38.8만,전체 891,전체 134,24.04.11,24.06.27,9.9
1428,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1429,악역의 편식을 고쳐보겠습니다,로맨스판타지,황금송,70.6만,전체 669,전체 134,24.04.26,24.06.18,9.7
1430,온 우주가 돕는 여동생 시나리오,로맨스판타지,톄제,727.2만,전체 1.1만,전체 198,22.12.02,23.08.30,9.8
1431,내 남편이 달라졌어요,로맨스판타지,K유안,"1,083.3만",전체 1.2만,전체 112,17.09.11,17.10.17,9.8
1432,빙의자가 다녀간 후,로맨스판타지,재겸,196.4만,"전체 5,799",전체 163,22.04.28,23.09.26,9.9
1433,접근 불가 레이디,로맨스판타지,킨,"5,992.7만",전체 5.5만,전체 254,19.01.31,21.05.14,9.9
1434,강희,로맨스판타지,전은정,855.7만,"전체 3,101",전체 80,14.07.30,14.07.30,9.8
1435,모든 건 아기님 발 아래,로맨스판타지,신양이,350.3만,"전체 4,802",전체 256,21.01.11,23.03.14,9.9
1436,서브 남주는 내 침대로 오세요,로맨스판타지,오앤,189.1만,"전체 4,965",전체 171,22.11.20,23.04.06,9.8
1437,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1438,남주들과 외딴섬에 갇혀버렸다,로맨스판타지,김지아,"2,976.2만",전체 3.5만,전체 243,21.07.31,23.08.19,9.9
1439,레이디 베이비,로맨스판타지,주해온,"5,414.2만",전체 5.1만,전체 420,17.08.31,19.07.19,9.9
1440,우리 집에 갇혀버린 남주들,로맨스판타지,김지아,"1,140.9만",전체 1.4만,전체 289,22.07.22,24.05.19,9.9
1441,백사자 가문의 파랑새 마님,로맨스판타지,김로니,939.5만,"전체 9,179",전체 174,21.05.08,24.05.25,9.9
1442,악녀에게 관심을 주지 마세요,로맨스판타지,이인혜,550.9만,"전체 8,648",전체 153,20.02.10,20.06.03,9.8
1443,남주의 어장에서 탈출하겠습니다,로맨스판타지,진세하,242.3만,"전체 2,048",전체 131,22.09.24,23.04.16,9.5
1444,목표는 금수저로 무병장수하기입니다,로맨스판타지,청송아,"1,033.6만",전체 1.3만,전체 151,18.04.13,18.08.10,9.6
1445,전령새 왕녀님,로맨스판타지,한류이,"3,133.6만",전체 3.6만,전체 193,17.07.10,21.05.22,9.9
1446,남편을 고를 때는 신중하게,로맨스판타지,유이란,761.5만,전체 1.2만,전체 182,21.02.08,23.05.14,9.9
1447,주인공의 여동생이다,로맨스판타지,안경원숭이,"2,391.7만",전체 4.5만,전체 279,19.09.13,22.11.05,10.0
1448,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1449,악역을 교화시켜 버렸다,로맨스판타지,하르넨,423.8만,"전체 7,268",전체 150,20.12.06,24.01.23,10.0
1450,요리하는 마법사,로맨스판타지,퍼플레몬,138.7만,"전체 2,218",전체 144,18.12.22,22.10.20,10.0
1451,아기 약사 황녀님,로맨스판타지,은려원,"1,092만","전체 7,123",전체 180,21.10.04,24.03.22,9.8
1452,세계수 하숙집에 어서오세요,로맨스판타지,"현솔,Dan",18.3만,전체 523,전체 224,23.12.07,24.06.26,9.6
1453,신데렐라를 곱게 키웠습니다 [완결],로맨스판타지,키아르네,"8,330.4만",전체 8.6만,전체 272,18.05.18,19.01.29,10.0
1454,야수는 공작을 역조련합니다,로맨스판타지,세계의별,23.4만,전체 592,전체 151,23.07.17,23.10.18,9.9
1455,여주에게 버려진 악당을 구하는 방법,로맨스판타지,연비,"2,101.6만",전체 2.2만,전체 379,19.01.25,22.04.21,9.8
1456,악당 아빠를 입양했다,로맨스판타지,윤슬,"1,819.1만",전체 2.4만,전체 197,20.03.27,23.05.29,9.9
1457,"안녕하세요, 볼모입니다",로맨스판타지,폴리타,8.3만,전체 223,전체 277,22.06.25,23.01.23,10.0
1458,던전 베이커리,로맨스판타지,치호,169.5만,"전체 1,077",전체 172,23.11.27,24.06.25,9.6
1459,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1460,망나니 악녀가 돌아왔다,로맨스판타지,자은향,"1,449.2만","전체 7,404",전체 235,23.09.30,24.01.20,9.7
1461,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1462,세계 최강자들이 평범한 나에게 집착한다,로맨스판타지,로미유,28.1만,전체 326,전체 140,23.12.21,24.05.29,9.7
1463,악녀님이 남자인 걸 나만 몰라,로맨스판타지,백단,230.9만,"전체 1,577",전체 138,24.02.28,24.05.04,9.8
1464,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1465,쉬고 싶은 레이디,로맨스판타지,유인(流人),"6,309.8만",전체 5.6만,전체 320,17.11.24,18.10.15,9.9
1466,나를 버려주세요,로맨스판타지,자은향,"3,349.7만",전체 2.8만,전체 201,18.09.30,20.06.17,9.8
1467,순백의 엘리사벳,로맨스판타지,남유현,"1,862.3만",전체 4.2만,전체 607,19.07.26,23.11.10,10.0
1468,언젠가 도망칠 가짜 신부입니다,로맨스판타지,은솔림,227.8만,"전체 1,457",전체 180,23.07.22,23.11.21,9.9
1469,진짜 딸이 돌아왔다,로맨스판타지,린아(潾娥),"1,335.6만",전체 1.2만,전체 207,20.08.16,23.10.30,9.7
1470,폭군의 애완동물이 되었다,로맨스판타지,견우,743.8만,"전체 9,792",전체 200,21.09.10,22.03.23,9.8
1471,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1472,죄송한데 제가 일반인이라서요,로맨스판타지,색채,544.6만,전체 1.1만,전체 410,21.10.29,23.05.22,9.7
1473,성녀가 아니라 선녀인데요,로맨스판타지,염장이,301.6만,"전체 3,748",전체 138,22.04.26,22.12.21,9.9
1474,최종 보스의 애인이라니 오해입니다,로맨스판타지,KEN,"3,102.8만",전체 4.1만,전체 212,20.01.27,23.03.31,10.0
1475,꽃길까지 앞으로 한 걸음,로맨스판타지,녹타,"3,638.4만",전체 3.7만,전체 288,19.06.14,21.12.04,9.9
1476,주인공의 구원자가 될 운명입니다,로맨스판타지,은소로,"5,210.8만",전체 8.6만,전체 265,19.07.19,22.06.03,9.7
1477,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1478,서브남 아빠를 지키는 법,로맨스판타지,허니슈,791만,"전체 4,504",전체 176,22.11.12,23.11.12,9.7
1479,"막내 공녀의 총애를 독차지했더니, 모두 내게 집착한다",로맨스판타지,희윤,"1,481.6만",전체 2만,전체 247,22.02.20,22.09.16,9.8
1480,"여보, 왜 이혼은 안 되나요?",로맨스판타지,차소희,786.3만,"전체 9,298",전체 142,21.03.04,21.04.23,9.5
1481,흑막 약혼자가 내 꽃길을 방해한다,로맨스판타지,오월비,396.4만,"전체 9,006",전체 131,22.02.16,24.02.25,9.8
1482,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1483,19금,로맨스판타지,19금,19금,19금,19금,19금,19금,19금
1484,엑스트라 보호자는 퇴장할 타이밍을 놓쳐 버렸다,로맨스판타지,은솔림,348.9만,"전체 3,839",전체 176,22.08.02,22.11.03,9.8
1485,"그 어장, 내가 가져보겠다",로맨스판타지,꽃니랑,637.8만,"전체 7,755",전체 314,21.04.18,23.11.14,9.9
1486,악녀인데 남주 대신 검을 뽑아버렸다,로맨스판타지,단이로,303.8만,"전체 3,507",전체 210,22.06.20,23.01.19,9.8
1487,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1488,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1489,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1490,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1491,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1492,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1493,일타강사 정해 세자빈 되다,로맨스,이인혜,308.7만,"전체 1,727",전체 183,24.02.09,24.06.23,9.7
1494,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1495,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1496,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1497,내일의 으뜸 : 선재 업고 튀어,로맨스,김빵,"1,068.2만",전체 1.2만,전체 104,19.12.15,24.04.16,9.9
1498,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1499,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1500,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1501,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1502,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1503,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1504,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1505,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1506,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1507,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1508,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1509,경성 탐정 사무소,로맨스,박하민,523.2만,"전체 7,498",전체 260,17.01.24,17.05.05,10.0
1510,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1511,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1512,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1513,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1514,버림받은 아기 왕녀로 환생했습니다,로맨스,빅노아,268.4만,"전체 1,902",전체 161,24.03.30,24.06.16,9.7
1515,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1516,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1517,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1518,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1519,금당귀연,로맨스,풍광제월,36.7만,전체 127,전체 973,23.08.03,23.08.03,10.0
1520,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1521,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1522,6년 만에 신혼,로맨스,윤단짠,49.1만,전체 330,전체 102,24.03.26,24.06.11,9.8
1523,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1524,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
1525,수보교낭,로맨스,"편방방,화링크",125.6만,전체 830,"전체 1,087",23.08.18,23.08.18,10.0
1526,19금,로맨스,19금,19금,19금,19금,19금,19금,19금
