,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
75,"선독점 국정원 블랙 요원, 회귀하다.","현대판타지, 전쟁·밀리터리",평택안중,2023.09.19 23:57,2024.03.27 21:00,154 회,"241,057","5,391","805,511","1,206"
76,선독점 눈떠보니 선조대왕,"대체역사, 전쟁·밀리터리",브루마블,2020.10.13 21:34,2024.04.24 20:00,302 회,"678,416","8,623","1,729,484","1,065"
77,"선독점 입금 완료, S급 용병!","현대판타지, 전쟁·밀리터리",부릉다라,2018.08.04 11:58,2021.04.08 12:00,679 회,"5,898,291","167,782","4,733,045","11,927"
78,선독점 이순신 황제 만들기: 新문명의 시작,"대체역사, 전쟁·밀리터리",물연필,2021.01.19 10:15,2021.04.15 11:00,100 회,"275,105","4,148","553,177",712
79,선독점 회귀한 이순신은 만렙 전신(戰神),"대체역사, 전쟁·밀리터리",물연필,2022.12.10 11:50,2023.04.14 11:30,125 회,"368,071","8,643","646,557","1,200"
80,선독점 제독 미하엘,"판타지, 전쟁·밀리터리",보헤미아.,2018.09.20 08:54,2019.07.31 10:00,220 회,"2,482,012","78,994","1,173,784","8,216"
81,선독점 대영제국 함장이 되었다,"대체역사, 전쟁·밀리터리",대형수상함,2019.08.19 21:00,2021.01.14 20:52,426 회,"2,156,752","66,309","2,566,243","5,639"
82,선독점 알고보니 천재 용병,"현대판타지, 전쟁·밀리터리",유나파파,2023.08.25 06:59,2024.03.16 10:00,208 회,"1,005,662","24,600","1,266,614","4,193"
83,선독점 선조 삼국지 헌제가 되다,"대체역사, 전쟁·밀리터리",주윤,2022.05.02 19:30,2022.12.30 20:00,209 회,"1,103,633","57,609","1,272,927","5,254"
84,선독점 메이지 슬레이어,"판타지, 전쟁·밀리터리",학인생,2020.05.16 17:58,2022.09.29 11:11,279 회,"1,230,317","65,332","1,911,975","10,487"
85,선독점 대장군 신립,"대체역사, 전쟁·밀리터리",드림판다,2020.04.20 20:00,2020.12.30 18:00,247 회,"659,708","15,978","1,570,588","2,371"
86,"선독점 삼국지, 고순의 몸에 빙의했다","대체역사, 전쟁·밀리터리",백마장사,2023.10.16 20:20,2024.04.30 13:00,200 회,"402,324","8,441","1,110,497","1,491"
87,선독점 만렙요원 : 재벌이 되다,"현대판타지, 전쟁·밀리터리",준강(俊剛),2022.11.29 12:14,2024.01.23 22:05,370 회,"1,332,576","29,459","2,148,695","4,360"
88,선독점 선조 아들이 천문학을 너무 잘함,"대체역사, 전쟁·밀리터리",담배맛동산,2023.10.12 12:00,2024.05.25 20:00,205 회,"576,472","17,721","1,277,134","2,623"
89,선독점 대한민국 전쟁영웅이 되었다.,"대체역사, 전쟁·밀리터리",프리드링크,2023.01.02 12:06,2024.01.20 21:31,251 회,"1,788,892","58,515","1,298,998","7,450"
90,선독점 그림자맨 그렉리,"퓨전, 전쟁·밀리터리",위선호,2021.03.29 19:00,2021.11.28 07:00,300 회,"833,548","35,222","1,706,085","3,419"
91,선독점 고려왕이 된 망나니,"대체역사, 전쟁·밀리터리",슬라임2세,2019.08.03 21:15,2020.02.06 21:15,193 회,"511,678","10,768","1,073,310","1,616"
