,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
115,스피릿 소드,판타지,김정률,(2015.06.12.),(2016.07.06.),192,719,472,8.7
116,이사님의 취미생활,로맨스,이정운,(2014.12.31.),(2015.04.22.),70,350,710,9.1
117,천신의 요람,로판,항낭,(2015.06.01.),(2016.04.13.),95,503,840,9.4
118,전생검신,무협,구로수번,(2016.09.09.),(2024.06.26.),1821,"43,882","1,969",9.5
119,아나운서 S의 비밀일기,로맨스,용감한 자매,(2016.03.01.),(2016.08.09.),76,204,394,8.8
120,귀환마도 [단행본],무협,합마,(2014.06.09.),(2014.06.09.),16,244,376,8.1
121,악녀의 사정,로맨스,별에달이,(2013.09.03.),(2013.12.08.),51,267,76,9.2
122,19금,19금,19금,19금,19금,19금,19금,19금,19금
123,서울역 네크로맨서,판타지,진설우,(2016.01.22.),(2016.07.28.),203,"3,080",651,8.5
124,월령검주,무협,천봉,(2014.01.28.),(2015.05.15.),325,199,225,7.9
125,단향-색을 탐하다,로맨스,차소희,(2014.09.30.),(2015.04.21.),85,153,491,8.8
126,테이밍 마스터,판타지,박태석,(2016.03.08.),(2021.10.15.),1172,"4,264",813,8.4
127,고양이가 있는 서점,로판,유세라,(2013.01.15.),(2013.10.01.),84,475,110,9.4
128,플레이 더 월드,판타지,디다트,(2014.09.25.),(2015.02.12.),188,"1,124",856,8.6
129,궁신(弓神),무협,나한,(2014.01.28.),(2016.06.17.),525,190,289,8.7
130,경천동지 [독점],무협,이윤아,(2015.02.05.),(2015.11.26.),120,392,523,9.0
131,요운당,로판,이동희,(2015.02.03.),(2015.11.20.),83,442,813,9.5
132,날 미치게 하는 그대,로맨스,이달아,(2016.09.05.),(2017.04.06.),104,600,"1,084",9.4
133,천마군림,무협,좌백,(2013.01.16.),(2015.03.16.),338,402,187,8.4
134,서녘이 밝아오면,로판,밀밭,(2016.01.06.),(2016.06.11.),79,447,549,9.4
135,그 남자 밥해주기,로맨스,왕기대,(2015.07.02.),(2016.05.19.),93,203,558,8.0
136,성운을 먹는 자,판타지,김재한,(2014.02.12.),(2017.07.05.),781,"2,355",521,8.5
137,솔플의 제왕,판타지,디다트,(2016.03.30.),(2016.04.28.),192,"1,269",373,7.9
138,중급무사,무협,좌백,(2015.06.05.),(2015.07.30.),30,342,302,8.6
139,필드,현판,관희천,(2014.07.22.),(2015.06.08.),457,338,276,8.2
140,늑대공자,로판,월우,(2015.12.02.),(2016.07.27.),96,228,526,9.2
