,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
125,선독점 내 마법만 레벨업,"판타지, 퓨전",해무극,2023.06.01 20:05,2024.06.19 18:00,283 회,"2,793,908","85,039","1,760,348","11,610"
126,선독점 괴물 음악천재가 되어 돌아왔다,현대판타지,츠로프,2024.03.02 19:13,2024.06.20 22:43,106 회,"1,162,491","27,494","609,334","6,567"
127,선독점 짜장 한 그릇에 제갈세가 데릴사위,"무협, 퓨전",에르훗,2022.07.13 14:37,2024.06.20 09:20,685 회,"5,746,895","205,290","4,169,078","22,947"
128,선독점 파혼 후 역대급 투자 천재,"현대판타지, 퓨전",단골손놈,2024.03.19 00:39,2024.06.20 20:00,103 회,"1,390,168","23,902","627,668","6,622"
129,선독점 이동 요새로 아포칼립스 살아남기,"판타지, 현대판타지",스타퍼,2023.08.10 07:15,2024.04.30 12:00,200 회,"2,133,756","55,706","1,144,730","10,917"
130,선독점 천재 축구감독의 2회차,"스포츠, 현대판타지",주주총회,2023.06.20 12:20,2024.04.30 19:05,221 회,"1,898,034","49,522","1,167,809","7,669"
131,선독점 귀농했더니 국가급 거물 후배들이 몰려든다,"현대판타지, 판타지",아길론™,2023.11.18 13:46,2024.06.18 18:00,164 회,"2,186,858","50,979","897,192","11,635"
132,선독점 스킬진화로 빌런 응징,"현대판타지, 판타지",라팜팜,2022.08.24 06:44,2023.03.09 23:30,203 회,"2,694,270","59,297","1,100,009","11,394"
133,선독점 서울역 세종대왕,"대체역사, 현대판타지",구사(龜沙),2023.12.04 14:13,2024.06.20 17:00,165 회,"1,145,822","41,034","927,254","6,035"
134,선독점 카이저가 칼들고 협박함,"대체역사, 전쟁·밀리터리",I알자스I,2023.05.18 18:15,2024.06.20 18:00,330 회,"1,298,666","46,157","1,915,266","4,392"
135,선독점 퓨전펑크의 전생자,"판타지, 퓨전",쫄면에삼겹,2023.01.10 21:50,2024.06.19 20:02,309 회,"5,592,455","214,453","2,332,925","24,840"
136,선독점 나 혼자 탑에서 농사,"현대판타지, 퓨전",sdcknight,2022.05.11 11:46,2024.06.20 15:00,735 회,"6,535,068","272,484","3,964,029","21,690"
137,선독점 멸망한 세계의 전승자,"판타지, 퓨전",판작,2022.11.01 23:01,2023.05.25 18:57,206 회,"3,164,619","96,517","1,225,016","15,143"
138,선독점 몽골조선의 천재 데릴사위가 되었다,"대체역사, 퓨전",기신,2023.09.11 16:41,2024.06.20 22:00,154 회,"1,038,247","27,531","1,392,278","5,517"
139,선독점 MLB 천재들이 방출 포수를 너무 좋아함,"스포츠, 현대판타지",에필로거,2024.03.18 10:01,2024.06.20 18:00,92 회,"1,206,462","25,275","507,985","5,600"
140,선독점 괴력 난신(怪力 亂神),"무협, 판타지",한중월야,2021.05.12 10:11,2023.07.25 19:00,527 회,"4,332,703","133,029","3,498,594","15,959"
141,선독점 역천무림,무협,라바테라,2024.03.22 18:36,2024.06.20 22:39,93 회,"1,112,881","25,881","556,822","5,629"
142,선독점 기적을 빚는 도예가,"현대판타지, 판타지",노델,2024.03.11 08:05,2024.06.20 21:19,101 회,"726,372","21,354","567,877","4,646"
143,선독점 역대급 라이프 스타일,"현대판타지, 판타지",에쮸드,2024.02.20 12:59,2024.06.20 22:00,144 회,"1,551,120","32,139","791,816","7,246"
144,선독점 재벌 3세의 홀로서기,"현대판타지, 대체역사",새가람,2023.01.01 10:20,2023.07.31 11:00,264 회,"3,838,016","79,013","1,418,850","12,389"
145,선독점 명문고 EX급 조연의 리플레이,"현대판타지, 게임",기월월,2019.09.02 11:10,2024.06.19 17:00,"1,152 회","8,061,468","438,669","6,431,796","18,962"
