,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
3138,19금,19금,19금,19금,19금,19금,19금,19금,19금
3139,19금,19금,19금,19금,19금,19금,19금,19금,19금
3140,19금,19금,19금,19금,19금,19금,19금,19금,19금
3141,19금,19금,19금,19금,19금,19금,19금,19금,19금
3142,19금,19금,19금,19금,19금,19금,19금,19금,19금
3143,검은 머리 전술 천재,현판,강로이,(2021.09.06.),(2024.05.14.),356,980,15,9.4
3144,전 그냥 내 집 마련이 꿈인데요? [단행본],로판,여로은,(2024.05.14.),(2024.05.14.),5,1,좋아요,9.3
3145,19금,19금,19금,19금,19금,19금,19금,19금,19금
3146,SS급 가챠 뽑는 헌터 [독점],판타지,알레브,(2023.08.15.),(2024.05.14.),195,117,11,7.4
3147,19금,19금,19금,19금,19금,19금,19금,19금,19금
3148,남주의 순결을 빼앗고 도망쳐 버렸다 [독점],로판,박래레,(2023.05.01.),(2024.05.13.),339,"1,951",41,9.6
3149,내 아이를 돌려줘 [독점],로맨스,검정머리앤,(2023.11.15.),(2024.05.13.),81,51,7,9.7
3150,연성해서 미안하다 집착 좀 그만해라,로판,흑진주7,(2023.11.17.),(2024.05.13.),157,171,37,8.7
3151,이 베스트셀러 작가는 운이 나쁩니다,로판,레라콕,(2024.02.02.),(2024.05.13.),182,28,좋아요,9.3
3152,타자 노림수가 다 보임,현판,유리몸,(2024.03.08.),(2024.05.13.),175,176,6,9.2
3153,나 홀로 무공,판타지,땅피,(2021.03.05.),(2024.05.13.),333,448,3,8.6
3154,마법대륙 검술천재,판타지,도비,(2024.05.13.),(2024.05.13.),330,0,좋아요,8.7
3155,명령불복종,로맨스,워셔,(2024.05.13.),(2024.05.13.),61,9,좋아요,10.0
3156,중세랜드의 전문직이 되었다.,판타지,트럭운전사,(2024.04.23.),(2024.05.13.),138,40,1,9.0
3157,내 생애 최고의 스폰서,로맨스,화연윤희수,(2024.05.13.),(2024.05.13.),38,0,좋아요,9.0
3158,미래에서 온 스마트워치 [단행본],현판,영협,(2024.05.13.),(2024.05.13.),9,0,좋아요,8.0
3159,이세계 철물점으로 최강 기업 [단행본],현판,리얼탄산,(2024.05.13.),(2024.05.13.),7,0,좋아요,0.0
3160,조연과 서브 남주의 간격 [단행본],로판,풀잠,(2024.05.13.),(2024.05.13.),4,0,좋아요,0.0
3161,19금,19금,19금,19금,19금,19금,19금,19금,19금
3162,19금,19금,19금,19금,19금,19금,19금,19금,19금
3163,19금,19금,19금,19금,19금,19금,19금,19금,19금
3164,19금,19금,19금,19금,19금,19금,19금,19금,19금
3165,19금,19금,19금,19금,19금,19금,19금,19금,19금
3166,미드나잇 다이어리 [단행본],로맨스,영이일,(2024.05.13.),(2024.05.13.),1,0,좋아요,0.0
3167,19금,19금,19금,19금,19금,19금,19금,19금,19금
3168,파고드는 전남편 [단행본],로맨스,은세리,(2024.05.13.),(2024.05.13.),2,0,좋아요,0.0
3169,19금,19금,19금,19금,19금,19금,19금,19금,19금
3170,폐쇄 병동의 주의 사항 [클린버전],로맨스,이정운,(2024.05.13.),(2024.05.13.),99,0,좋아요,0.0
3171,19금,19금,19금,19금,19금,19금,19금,19금,19금
3172,19금,19금,19금,19금,19금,19금,19금,19금,19금
3173,19금,19금,19금,19금,19금,19금,19금,19금,19금
3174,19금,19금,19금,19금,19금,19금,19금,19금,19금
3175,19금,19금,19금,19금,19금,19금,19금,19금,19금
3176,19금,19금,19금,19금,19금,19금,19금,19금,19금
3177,19금,19금,19금,19금,19금,19금,19금,19금,19금
3178,19금,19금,19금,19금,19금,19금,19금,19금,19금
3179,현령무적,무협,자우,(2024.05.12.),(2024.05.12.),150,11,좋아요,9.2
3180,19금,19금,19금,19금,19금,19금,19금,19금,19금
3181,무장원행장기,무협,자우,(2024.05.12.),(2024.05.12.),213,2,좋아요,10.0
3182,황궁 열째 공주가 되었습니다,로판,츄라잇,(2024.05.12.),(2024.05.12.),160,1,좋아요,8.5
3183,짐승 남주를 조련하는 데 실패했다 [단행본],로판,표희서,(2024.05.12.),(2024.05.12.),5,0,좋아요,0.0
3184,전남편의 기억이 돌아왔다,로판,예령,(2023.11.17.),(2024.05.12.),124,72,4,7.5
3185,후회를 삼킨 너에게,로판,링스포인트,(2023.11.03.),(2024.05.12.),125,58,36,9.0
3186,게임 속 성자가 살아가는 법,판타지,아보카도칩,(2023.12.01.),(2024.05.11.),196,212,5,9.0
3187,이세계를 찍었더니 천만 감독 [단행본],현판,레드풋,(2024.05.11.),(2024.05.11.),13,0,좋아요,10.0
3188,데몬시드 [단행본],현판,낭선,(2024.05.11.),(2024.05.11.),11,0,좋아요,0.0
3189,2회차 환관이 남성을 되찾음 [단행본],무협,노빠꾸맨,(2024.05.11.),(2024.05.11.),12,0,좋아요,0.0
3190,19금,19금,19금,19금,19금,19금,19금,19금,19금
3191,19금,19금,19금,19금,19금,19금,19금,19금,19금
3192,나치 독일의 종군 기자가 되었다 [독점],판타지,유기농볼셰비키,(2024.01.09.),(2024.05.11.),121,285,19,9.3
3193,폭군 오빠는 덤입니다 [단행본],로판,송재아,(2024.05.11.),(2024.05.11.),7,0,좋아요,0.0
3194,미래기술로 무림정벌,무협,화랑비,(2024.05.11.),(2024.05.11.),302,5,1,6.6
3195,19금,19금,19금,19금,19금,19금,19금,19금,19금
