,제목,장르,작가,연재 시작일,마지막 연재일,연재수,댓글수,추천수,평점,Site
485,회귀한 재벌은 미국을 사기로했다,현판,연태량,2024-06-12,2024-06-26,122,190,2,8.9,NaverSeries
486,러스트  RUST,현판,글라딘,2021-11-04,2024-06-26,1065,11503,48,9.2,NaverSeries
487,딸을 위해 쓴 소설이 대박났다,현판,소수깡,2024-04-17,2024-06-26,158,367,2,9.4,NaverSeries
488,시한부 천재가 살아남는 법,무협,청시소,2021-02-10,2024-06-26,727,58877,430,9.6,NaverSeries
489,"역대급 장문인, 문파를 재건하다",무협,백아,2024-05-10,2024-06-26,135,5,1,9.1,NaverSeries
490,야만전사의 게임방송,현판,냐타드코코,2024-05-21,2024-06-26,128,317,1,9.5,NaverSeries
491,좌완으로 170km 던짐,현판,량주,2024-05-24,2024-06-26,127,133,0,7.8,NaverSeries
492,파혼 후 역대급 투자 천재,현판,단골손놈,2024-06-21,2024-06-26,109,18,1,8.0,NaverSeries
493,"공작님, 회개해주세요!",판타지,별볆볆별명,2019-05-20,2024-06-26,1457,9834,61,9.9,NaverSeries
494,환생하니 재벌집 서자가 되었다,현판,공기씨,2024-04-12,2024-06-26,132,201,2,8.5,NaverSeries
495,1979 김부장이 재를 계승 중입니다!,현판,아아연하게,2024-05-01,2024-06-26,176,478,3,8.3,NaverSeries
496,폐급 배우가 상태창을 숨김,현판,papapa,2024-05-08,2024-06-26,139,803,7,9.2,NaverSeries
497,망한 아이돌이 천재 배우였다,현판,성운盛運,2024-06-04,2024-06-26,132,103,1,8.8,NaverSeries
498,내 조선에 세종은 없다,판타지,핏콩,2023-01-10,2024-06-26,467,8365,41,9.6,NaverSeries
499,재벌집 만렙 아들,현판,오소록,2023-02-03,2024-06-26,438,7477,70,9.6,NaverSeries
500,목소리를 듣는 천재 매니저,현판,에프릴,2023-12-26,2024-06-26,128,294,5,8.9,NaverSeries
501,이번 생은 탑배우,현판,김추앙,2023-12-26,2024-06-26,218,383,6,9.4,NaverSeries
502,회귀자는 평범하게 살기로 했다,현판,주니글왕,2024-01-19,2024-06-26,170,52,3,8.7,NaverSeries
503,미래를 보는 천재 매니저,현판,라엔,2024-02-13,2024-06-26,130,108,0,8.1,NaverSeries
504,10만 명을 죽인 사상 초유의 마법사,현판,연함,2024-04-05,2024-06-26,165,254,2,7.9,NaverSeries
505,나의 조선에 유교는 필요없다,판타지,정동갑제,2024-06-14,2024-06-26,122,252,12,8.7,NaverSeries
506,여배우는 회귀 PD를 좋아해!,현판,요람,2024-01-10,2024-06-26,395,50,3,7.9,NaverSeries
507,"아가씨, 이거 정말 복수 맞나요?",로판,녹유리,2024-02-03,2024-06-26,144,820,18,9.6,NaverSeries
508,귀환자는 오늘도 OO을 합니다,판타지,킴레거시,2024-03-19,2024-06-26,195,66,2,8.2,NaverSeries
509,EX급 재능으로 기계신(Deus ex machina),판타지,범미르,2024-05-20,2024-06-26,137,192,1,8.3,NaverSeries
510,살인마 공작님이 내게 너무 다정하다,로판,일리아나함,2024-06-05,2024-06-26,95,16,2,9.6,NaverSeries
511,너구리는 돈이 제일 좋아!,로판,플랜디,2024-06-22,2024-06-26,65,13,3,9.1,NaverSeries
512,공포게임 속 최종보스에게 집착당한다,로판,후라이드치킨,2024-04-20,2024-06-26,127,236,6,9.6,NaverSeries
513,황후의 새장에는 빛이 들지 않는다,로판,빛아름,2024-04-12,2024-06-26,133,179,1,9.3,NaverSeries
514,제자 맞선 삽화,로맨스,최연,2024-06-12,2024-06-26,95,1284,5,10.0,NaverSeries
515,후회를 바라지 않는 그대에게,로판,시렌테,2024-04-06,2024-06-26,130,397,4,8.9,NaverSeries
516,사천당가 침술명의가 되었다,무협,주문향,2024-05-30,2024-06-26,168,32,1,8.9,NaverSeries
517,남자 캐릭터가 엔딩을 기억한다,로판,하나영,2024-05-11,2024-06-26,97,62,12,9.0,NaverSeries
518,이세계 기사님의 아이를 가졌다,로판,백자은,2024-01-13,2024-06-26,219,128,5,8.8,NaverSeries
519,화염에 사는 뱀,로판,아듀,2024-05-20,2024-06-26,117,26,5,8.5,NaverSeries
520,귀농했는데 세계수로 미국식 농사,현판,노마(駑馬),2024-01-17,2024-06-26,259,906,5,9.7,NaverSeries
521,"삼국지, 동탁을 죽였다",판타지,날여우,2024-05-24,2024-06-26,141,165,3,9.3,NaverSeries
522,회사원이 너무 강함,현판,블루티풀,2024-06-26,2024-06-26,110,5,0,9.8,NaverSeries
523,화약고 제국의 천재 대공,판타지,시작의바다,2023-09-12,2024-06-26,327,2696,10,9.1,NaverSeries
524,재벌 스탈린은 공산당이 싫어요!,판타지,염왕,2024-03-28,2024-06-26,172,392,1,9.4,NaverSeries
525,말 병사가 너무 강함,판타지,글택,2024-03-20,2024-06-26,208,610,2,8.0,NaverSeries
526,완전생물 병장님,현판,마지막한자,2024-06-11,2024-06-26,122,39,2,7.5,NaverSeries
527,서부의 합법적 핵쟁이가 되었다,판타지,배뿌,2024-02-27,2024-06-26,185,1686,14,9.5,NaverSeries
528,역천의 대한민국!,판타지,강바기,2023-06-23,2024-06-26,361,2122,15,8.4,NaverSeries
529,이중제국의 문화천재,판타지,아뢰야,2023-08-29,2024-06-26,217,1818,5,9.2,NaverSeries
530,천마신교 절대기재,무협,글포터,2023-11-28,2024-06-26,193,719,5,8.7,NaverSeries
531,재벌은 1968부터,현판,류버들,2024-02-23,2024-06-26,192,171,9,9.1,NaverSeries
532,몰락가문의 검은머리 검술천재,판타지,새결,2024-03-12,2024-06-26,100,100,5,8.7,NaverSeries
533,제국 경비대의 망나니 소드마스터,판타지,사탕꽃,2024-05-13,2024-06-26,139,1134,7,9.3,NaverSeries
534,귀향한 먼치킨의 여방송,현판,배고픈신발,2024-06-07,2024-06-26,129,108,4,8.9,NaverSeries
535,사도세자는 편하게 살고 싶다,판타지,까다롭스키,2024-06-14,2024-06-26,114,568,5,9.6,NaverSeries
536,내 쓰레기들이 후회하기 시작했다,로판,박래레,2023-08-26,2024-06-26,205,402,9,8.0,NaverSeries
537,회귀 닥터는 조용히 살고 싶었다,현판,타우란,2023-04-04,2024-06-26,416,6592,72,9.5,NaverSeries
538,천마를 연기하다,무협,마실물,2023-11-14,2024-06-26,224,1750,24,9.6,NaverSeries
539,"마검, 화산 가다",무협,겨울반디,2023-11-28,2024-06-26,197,249,2,9.0,NaverSeries
540,몬스터와 힐링하는 S급 헌터,현판,다기205,2024-01-17,2024-06-26,253,3326,20,9.9,NaverSeries
541,게임 속 마법사는 현실에서 보상받는다,판타지,고서귀,2024-02-04,2024-06-26,224,385,6,8.4,NaverSeries
542,전능의 혀를 얻었다,현판,몽쉐르,2024-03-06,2024-06-26,205,781,7,9.1,NaverSeries
543,충무공의 아들이 되었다,판타지,보헤미아,2024-04-10,2024-06-26,171,925,3,9.6,NaverSeries
544,주인공이 미래를 안 숨김,판타지,손영석,2024-04-26,2024-06-26,156,63,0,9.0,NaverSeries
545,회귀했더니 구속 전날,현판,차선호,2024-05-07,2024-06-26,60,197,6,8.7,NaverSeries
546,시한부 최강 강령술사가 되었다,현판,티모복지부,2024-02-13,2024-06-26,166,100,21,7.9,NaverSeries
547,최애가 집착을 시작했다,로판,엘포네,2024-03-23,2024-06-26,127,223,4,9.6,NaverSeries
548,탑 아이돌의 회귀자 프로듀싱,현판,지박령,2024-04-09,2024-06-26,78,182,8,9.7,NaverSeries
549,SSS급 패시브 들고 귀환했다,판타지,괴물신입,2024-04-12,2024-06-26,191,479,3,7.6,NaverSeries
550,실낙원,로판,달항아리,2024-05-25,2024-06-26,111,421,6,9.0,NaverSeries
551,문종이 화폐를 거부함,판타지,홍삼절편,2024-03-15,2024-06-26,209,294,1,8.7,NaverSeries
552,귀신에게 사랑받는 천재 배우,현판,순두부정신,2024-05-10,2024-06-26,141,241,0,8.7,NaverSeries
553,파리를 잡았더니 초월급 헌터가 되었다,현판,소백린,2024-02-26,2024-06-26,205,699,2,8.6,NaverSeries
554,고졸 변호사가 경력을 숨김,현판,24도,2023-08-29,2024-06-26,348,309,6,8.3,NaverSeries
555,마지막 소드마스터의 사생아,판타지,아모리아,2024-03-29,2024-06-26,196,250,1,8.8,NaverSeries
556,변경의 죄수는 검성을 꿈꾼다,판타지,Cadilet,2024-05-27,2024-06-26,133,624,7,9.6,NaverSeries
557,모든걸 기억하는 천재무사,무협,적설목,2022-05-25,2024-06-26,655,12232,81,8.5,NaverSeries
558,최기 퇴물이 패스를 잘함,현판,삼만명,2023-12-06,2024-06-26,235,181,3,8.2,NaverSeries
559,북부 대공의 미친 데릴사위,판타지,곰돌이는,2024-04-21,2024-06-26,182,4393,57,9.8,NaverSeries
560,무인도 힐링 라이프를 꿈꿨는데 대박집 사장님이 되었다!,현판,R렉스,2024-06-24,2024-06-26,106,5,2,9.8,NaverSeries
561,증기조선,판타지,세래,2023-07-24,2024-06-26,305,305,5,8.7,NaverSeries
562,지옥에서 돌아온 리치삼촌,판타지,은남,2024-01-26,2024-06-26,194,255,2,7.9,NaverSeries
563,기획재정부,현판,현우,2024-02-06,2024-06-26,157,2965,18,9.6,NaverSeries
564,회귀하는 기갑신화,판타지,비활,2024-03-05,2024-06-26,108,387,9,8.9,NaverSeries
565,이제 사랑받을 수 있을까요?,로판,마랭,2024-03-07,2024-06-26,153,170,7,9.2,NaverSeries
566,회귀했는데 세상이 안 망함,현판,선우(仙宇),2024-03-20,2024-06-26,186,1577,24,9.6,NaverSeries
567,남편에게 외도 현장을 들켜버렸다,로판,주은린,2024-04-16,2024-06-26,132,812,10,9.2,NaverSeries
568,감옥 게임,판타지,HEAJANGNIM,2023-11-14,2024-06-26,207,126,0,9.1,NaverSeries
569,"도련님, 잊은 건 없으신가요?",로판,정해봄,2024-04-05,2024-06-26,140,158,18,8.7,NaverSeries
570,고졸순경이 경찰청장 되기,현판,해황,2021-01-07,2024-06-26,1917,2164,29,9.8,NaverSeries
571,영원한 기사님께,로판,정설탕,2023-08-29,2024-06-26,220,301,2,9.6,NaverSeries
572,영업의 신,현판,헤페츠,2024-01-02,2024-06-26,168,410,31,9.4,NaverSeries
573,공물 바치고 대마법사,판타지,낭선,2024-01-31,2024-06-26,283,3209,12,8.1,NaverSeries
574,내 스킬은 차원 거래소,판타지,김매,2024-04-05,2024-06-26,145,97,1,6.1,NaverSeries
575,전생검신,무협,구로수번,2016-09-09,2024-06-26,1821,43887,1969,9.5,NaverSeries
576,정령왕과 계약함,판타지,쿠크디스,2023-06-20,2024-06-26,338,319,1,8.6,NaverSeries
577,악역은 연애가 하고 싶다,로판,임이올,2024-04-13,2024-06-26,116,1105,11,9.7,NaverSeries
578,회귀헌터는 마신을 기다린다,현판,대방어,2022-06-01,2024-06-26,247,272,12,7.6,NaverSeries
579,게임 속 영주가 되었다,판타지,글쟁이김씨,2023-09-05,2024-06-26,232,681,19,9.2,NaverSeries
580,탐관오리가 상태창을 숨김,판타지,코락스,2023-10-18,2024-06-26,288,10249,85,9.8,NaverSeries
581,역배우 천재 아이돌 되다,현판,글속성작가,2023-10-17,2024-06-26,174,281,1,9.3,NaverSeries
582,록스타 어게인,현판,댄킴,2024-01-16,2024-06-26,174,1945,16,9.6,NaverSeries
583,강호쌍존,무협,수난,2024-02-27,2024-06-26,119,49,7,8.3,NaverSeries
584,과로사로 죽고 나니 망돌 배우,현판,천태거,2024-03-12,2024-06-26,117,366,2,9.4,NaverSeries
585,아카데미에 입대당했다,판타지,나는야몸짱,2024-05-14,2024-06-26,53,49,3,8.4,NaverSeries
586,나를 죽인 당신을 구원하려면,로판,골든부쉬,2023-08-11,2024-06-26,236,231,14,9.3,NaverSeries
587,아카데미 피폐 교관으로 빙의당했다,판타지,거짓이슬,2023-07-25,2024-06-26,235,2937,33,9.6,NaverSeries
588,대영제국에서 작가로 살아남기,판타지,고스름도치,2023-09-26,2024-06-26,315,3623,17,9.8,NaverSeries
589,회귀한 톱스타는 조용히 살고 싶다,현판,한라봉쉐이크,2023-10-10,2024-06-26,196,277,11,8.4,NaverSeries
590,시한부 세계의 엑스트라,판타지,깍깍까마귀,2023-12-05,2024-06-26,187,992,10,9.5,NaverSeries
591,이토록 순결한 신데렐라,로판,라넬라,2023-12-04,2024-06-26,100,106,3,8.6,NaverSeries
592,언어 패치가 잘못됐습니다,로판,율혜,2023-12-15,2024-06-26,163,200,10,9.5,NaverSeries
593,프로듀서 김해성,현판,일월비,2023-12-26,2024-06-26,179,171,1,8.5,NaverSeries
594,초인의 게임방송,현판,하이엔드,2024-03-19,2024-06-26,152,827,10,9.3,NaverSeries
595,지상최강 리조트의 주인,현판,로빈킴,2024-04-02,2024-06-26,138,130,4,7.9,NaverSeries
596,파혼 스캔들,로맨스,숲지,2024-03-27,2024-06-26,128,1019,5,8.9,NaverSeries
597,나를 잊은 에스퍼에게,로판,먕먕녕녕,2024-04-20,2024-06-26,113,333,12,8.8,NaverSeries
598,빌런의 프로그래밍,현판,삼락검,2023-04-19,2024-06-26,368,1264,9,9.0,NaverSeries
599,검은머리 천재 재벌,현판,번파,2023-08-18,2024-06-26,418,91,2,8.8,NaverSeries
600,음악천재를 위한 다 카포,현판,양갈비,2023-09-26,2024-06-26,220,1873,18,8.6,NaverSeries
601,아포칼립스의 움직이는 쉘터,현판,넌마늘,2024-01-16,2024-06-26,173,190,15,8.1,NaverSeries
602,F급 헌터가 우주전함을 키움,판타지,이나르,2024-04-17,2024-06-26,147,567,6,8.9,NaverSeries
603,우주에서 날아온 재벌님,현판,오유,2024-04-26,2024-06-26,154,68,10,8.7,NaverSeries
604,게임 속 2회차 광전사,판타지,인생망했음,2023-07-04,2024-06-26,321,3079,23,9.6,NaverSeries
605,"귀환노병, 천하제일가를 세우다",무협,태양진,2023-09-05,2024-06-26,228,509,15,9.3,NaverSeries
606,남편의 앞에서 시한부 선고를 받아버렸다,로판,미유,2023-05-20,2024-06-26,237,215,4,8.6,NaverSeries
607,대기업 말이 일을 잘함,현판,동면거북이,2023-06-13,2024-06-26,373,8317,103,9.7,NaverSeries
608,수녀원의 첩보요원,판타지,류펜,2023-07-11,2024-06-26,172,268,7,9.0,NaverSeries
609,검존무당,무협,자우,2023-07-25,2024-06-26,266,201,5,8.2,NaverSeries
610,대뜸 천마로 착각당했다,무협,밍고쟝,2023-09-19,2024-06-26,226,447,4,8.5,NaverSeries
611,검은 머리 미국 대재벌!,현판,흑곰작가,2024-03-22,2024-06-26,200,272,15,9.2,NaverSeries
612,역대급 스피드의 축구천재,현판,얼음강철,2024-03-28,2024-06-26,216,149,0,8.1,NaverSeries
613,천재 미드필더의 패스는 특별하다,현판,역작s,2024-04-24,2024-06-26,143,325,2,8.5,NaverSeries
614,특이으로 압도한다,현판,우명,2024-05-10,2024-06-26,136,96,5,8.6,NaverSeries
615,검술명가 양자로 환생했다,판타지,해필,2022-03-02,2024-06-26,621,1944,12,9.2,NaverSeries
616,"병원입니다만, 병이 아니라 운을 고칩니다",현판,밍고쟝,2023-11-07,2024-06-26,192,83,2,9.1,NaverSeries
617,사천의 가주,무협,codezero,2023-12-26,2024-06-26,255,1976,28,9.2,NaverSeries
618,로또로 시작된 재벌인생!,현판,흑곰,2024-03-19,2024-06-26,115,323,3,7.9,NaverSeries
619,귀농했더니 이세계 정령이랑 대박농사,현판,힐링화원,2024-03-18,2024-06-26,188,96,1,8.9,NaverSeries
620,대원군의 비선 실세,판타지,그너머,2024-03-26,2024-06-26,163,65,1,8.7,NaverSeries
621,임진왜란으로 조선을 바꾸다,판타지,선우선사,2024-04-19,2024-06-26,193,98,2,9.8,NaverSeries
622,집착 받는 가이드는 살고 싶다,로판,한유세,2023-11-18,2024-06-26,237,55,1,9.4,NaverSeries
623,삼국지 설탕왕,판타지,화용,2022-06-23,2024-06-26,744,443,6,8.5,NaverSeries
624,이세계 절대자의 망생헌터 생활,판타지,용군,2022-10-26,2024-06-26,229,122,35,8.2,NaverSeries
625,인생 리셋 오 대위!,현판,세상S,2023-02-23,2024-06-26,437,61,2,8.3,NaverSeries
626,스페이스 무림검귀,무협,ramoha,2023-10-03,2024-06-26,244,313,9,9.2,NaverSeries
627,조선인 마왕의 탈아입구,판타지,필성필성필,2023-11-07,2024-06-26,400,79,0,8.5,NaverSeries
628,더는 집착하지 않는다,로판,고티티,2024-02-07,2024-06-26,180,241,3,9.0,NaverSeries
629,흑마법사 재벌되다,현판,대두마신,2022-09-09,2024-06-26,498,161,4,9.3,NaverSeries
630,축구는 혼자 하는 게 아니다,현판,한하,2023-10-03,2024-06-26,246,283,4,9.4,NaverSeries
631,천하제일무관에 어서오세요,무협,종현,2023-10-31,2024-06-26,200,690,7,8.9,NaverSeries
632,무언의 마법사,판타지,강철민,2024-02-14,2024-06-26,207,281,4,8.7,NaverSeries
633,환생한 공돌이는 공작가 막내아들,판타지,도덕생활,2024-05-15,2024-06-26,158,58,1,8.0,NaverSeries
634,폐태자를 첩으로 들였다,로판,티샤츄,2024-03-13,2024-06-26,113,131,4,9.3,NaverSeries
635,무한전생-아서 허트,판타지,광악,2024-04-22,2024-06-26,202,347,3,9.4,NaverSeries
636,여 중에 아이가 생겼다.,현판,소설마표,2024-06-21,2024-06-26,107,21,0,9.4,NaverSeries
637,내 부캐들이 너무 강함,판타지,버스트다운,2023-01-10,2024-06-26,318,2120,22,8.6,NaverSeries
638,카이저가 칼들고 협박함,판타지,알자스,2023-09-13,2024-06-26,335,1869,5,9.4,NaverSeries
639,다크판타지 속 헌터가 되었다,판타지,무사칼리,2023-10-24,2024-06-26,224,293,20,8.5,NaverSeries
640,던전을 그리는 화가,현판,취미글주의,2024-01-16,2024-06-26,220,11269,62,9.9,NaverSeries
641,아포칼립스의 건설천재,판타지,웹중,2024-02-20,2024-06-26,139,103,3,7.2,NaverSeries
642,흑도백도,무협,로토,2024-03-12,2024-06-26,138,358,10,9.7,NaverSeries
643,흑막들과 조난당했다,로판,티샤츄,2024-04-05,2024-06-26,133,26,3,8.5,NaverSeries
644,인류 대표가 되었다,판타지,유세,2024-04-23,2024-06-26,116,214,3,8.9,NaverSeries
645,오만의 틈에서 피어나는,로판,소소리닻별,2024-05-08,2024-06-26,115,45,2,9.8,NaverSeries
646,어중간한 문파의 천하제일인,무협,임혁,2022-02-16,2024-06-26,908,4161,18,8.9,NaverSeries
647,맹주님 교주되신다,무협,김신金信,2023-07-25,2024-06-26,295,791,10,9.4,NaverSeries
648,(주)지옥에 취업한 EX급 헌터입니다,현판,데비랑,2023-12-19,2024-06-26,222,165,4,8.3,NaverSeries
649,히어로가 돌아왔다,현판,쾌벌,2024-04-02,2024-06-26,139,887,32,9.1,NaverSeries
650,이 복수 동맹은 사기 결혼으로 시작되었다,로판,유성우,2024-04-24,2024-06-26,125,233,6,8.5,NaverSeries
651,악녀는 갱생을 바란다,로판,솔디,2024-02-03,2024-06-26,194,653,4,9.6,NaverSeries
652,당신을 배신한 나를 구원해 줄래요,로판,바애,2024-06-07,2024-06-26,113,26,17,8.8,NaverSeries
653,사채왕의 천재손자,현판,김귀랑,2021-01-23,2024-06-26,985,5744,118,8.8,NaverSeries
654,솔로 데뷔가 목표입니다,현판,치히,2023-10-31,2024-06-26,227,331,8,8.7,NaverSeries
655,이혼 후 작두 탔습니다.,현판,동심(動心),2024-02-16,2024-06-26,239,303,10,8.8,NaverSeries
656,저주 먹는 천재 사제,판타지,더브러,2024-03-05,2024-06-26,173,144,1,8.7,NaverSeries
657,EX급 빙의자의 원작파괴,판타지,무사칼리,2024-04-02,2024-06-26,95,60,1,9.2,NaverSeries
658,멸망한 세계에 진짜 악당이 회귀했다,현판,현빌리,2024-04-09,2024-06-26,125,115,20,8.1,NaverSeries
659,망할 세계야 망하지 마,로판,원더드림,2024-06-05,2024-06-26,109,107,1,9.6,NaverSeries
660,앙숙과의 여름,로판,이바램,2024-06-07,2024-06-26,98,150,2,9.5,NaverSeries
661,첩자의 마교생활,무협,대은호,2023-06-27,2024-06-26,373,4296,53,9.3,NaverSeries
662,최애 아이돌은 꼬리가 아홉 개?,현판,유쓰,2023-10-03,2024-06-26,253,395,6,9.4,NaverSeries
663,피폐물 원작의 해피엔딩을 써보려 합니다,로판,구구단,2023-10-11,2024-06-26,221,110,7,9.4,NaverSeries
664,특수효과 천재연출가,현판,건강e,2023-10-31,2024-06-26,233,600,18,8.9,NaverSeries
665,여 유튜버가 된 언어 천재,현판,한성윤,2024-03-20,2024-06-26,171,591,5,8.9,NaverSeries
666,망한 재벌가의 사생아가 되었다,현판,소라게,2024-04-23,2024-06-26,74,68,5,7.3,NaverSeries
667,이혼 후 인생이 달라졌다.,현판,메인작가,2024-04-26,2024-06-26,144,244,4,7.0,NaverSeries
668,망한 아이돌 재설계합니다,현판,정고사리,2024-06-18,2024-06-26,162,27,2,10.0,NaverSeries
669,회귀하자마자 반역자와 정략결혼했다,로판,리테라,2024-01-31,2024-06-26,185,175,4,8.0,NaverSeries
670,내 쓰레기 네가 가져,로판,진주하,2024-06-19,2024-06-26,85,12,1,9.2,NaverSeries
671,연극성 회귀 생활,현판,취미글주의,2021-08-11,2024-06-26,839,43581,362,9.9,NaverSeries
672,내가 만든 만렙 NPC,현판,준솔,2023-12-26,2024-06-26,186,651,7,9.2,NaverSeries
673,연중소설 속 실눈악당,판타지,방독면,2024-04-09,2024-06-26,78,223,28,9.1,NaverSeries
674,첫사랑을 잊어버렸다,로판,달썸,2024-06-12,2024-06-26,125,2,0,9.1,NaverSeries
675,사랑하는 내 딸을 위하여,로판,요굴,2024-03-20,2024-06-26,124,185,10,9.3,NaverSeries
676,물에 빠진 흑막대공은 엑스트라를 붙잡는다,로판,윌러,2024-04-24,2024-06-26,125,44,3,8.4,NaverSeries
677,발톱 앞의 가시,로판,에이비,2024-05-09,2024-06-26,116,802,13,9.9,NaverSeries
678,불이 남긴 것들에 관하여,로판,하라쇼,2024-06-06,2024-06-26,96,196,2,9.3,NaverSeries
679,"장르, 잘못 찾았다",로판,폴리타,2024-02-07,2024-06-26,192,43,4,9.4,NaverSeries
680,이 악당은 이제 제 겁니다,로판,교시,2024-04-06,2024-06-26,123,348,3,9.8,NaverSeries
681,그대들의 파멸을 원합니다,로판,오마콘,2024-04-24,2024-06-26,125,23,3,8.9,NaverSeries
682,농어촌 에이스,현판,이블라인,2024-05-07,2024-06-26,106,3040,45,9.7,NaverSeries
683,제갈세가 신기무신,무협,해피루,2024-06-06,2024-06-26,152,14,0,8.4,NaverSeries
684,내가 죽은 후 남주들이 이상해졌다,로판,꿀끼,2024-06-22,2024-06-26,88,299,12,9.5,NaverSeries
685,암흑기사,판타지,만상조,2023-11-14,2024-06-26,207,57,2,8.6,NaverSeries
686,임신한 척했는데 남편이 돌아왔다,로판,별별토,2024-06-18,2024-06-26,86,845,32,9.7,NaverSeries
687,이 대리 회귀는 사기입니다,로판,김아늘,2023-05-12,2024-06-26,258,116,3,9.0,NaverSeries
688,이 공녀는 다이아 회원만 취급합니다,로판,머드크랩,2024-06-15,2024-06-26,89,27,0,8.8,NaverSeries
689,조선을 다시 위대하게,판타지,기병사단,2024-06-11,2024-06-26,101,22,9,8.9,NaverSeries
690,백씨세가 시한부 공자,무협,비도,2022-02-16,2024-06-26,542,13119,172,9.4,NaverSeries
691,재벌가 차남은 가슴에 금배지를 달았다,현판,봄이리치,2024-01-16,2024-06-26,183,104,5,8.9,NaverSeries
692,천마! 국정원 7급 공무원 되다,현판,청풍,2024-01-30,2024-06-26,249,120,13,8.0,NaverSeries
693,전략 게임에서 빌런으로 살아남기,판타지,오케스트럴,2024-04-16,2024-06-26,81,292,27,9.1,NaverSeries
694,엑스트라 황비로 살기에는,로판,화금강,2024-04-20,2024-06-26,120,373,6,9.0,NaverSeries
695,나를 구원한 악당을 위해서라면,로판,주하결,2024-05-08,2024-06-26,123,20,5,9.7,NaverSeries
696,회귀자 생활백서(回歸者 生活白書),무협,넉울히,2024-05-23,2024-06-26,160,1575,12,9.2,NaverSeries
697,마나를 잡아먹는 플레이어 무료연재,현판,쿠그,2024-06-11,2024-06-26,25,38,0,7.7,NaverSeries
698,블레인필드의 상속자,로판,파도저,2024-06-07,2024-06-26,113,206,0,9.2,NaverSeries
699,선제귀환,무협,풍무극광,2022-04-29,2024-06-26,1131,92,2,8.3,NaverSeries
700,슬기로운 천마님의 감빵생활,현판,쫑부장,2024-03-18,2024-06-26,174,20,3,8.6,NaverSeries
701,연극이 끝나고 난 뒤에는,로판,VALA,2024-04-03,2024-06-26,140,12,0,8.1,NaverSeries
702,이세계에서 슬라임으로 살아남는 법,로판,솜글,2024-04-27,2024-06-26,115,320,6,9.7,NaverSeries
703,끝내주는 검사 강지혁,현판,강철고래,2024-05-24,2024-06-26,144,170,9,9.2,NaverSeries
704,가수 5회차 천재 매니저 무료연재,현판,트라비숑,2024-05-28,2024-06-26,39,14,2,9.0,NaverSeries
705,전 농장게임 중인데요?,로판,은선화,2024-06-15,2024-06-26,131,148,3,9.7,NaverSeries
706,창기사 가문의 막내아들,판타지,키토,2024-03-26,2024-06-26,132,355,16,9.2,NaverSeries
707,황제의 아이를 낳지 않겠다,로판,준벅,2024-04-12,2024-06-26,135,86,9,9.6,NaverSeries
708,근육 몰빵 소서러,판타지,수민,2024-04-30,2024-06-26,67,35,4,7.9,NaverSeries
709,마왕의 시녀,로판,팔마,2024-05-17,2024-06-26,149,34,11,9.5,NaverSeries
710,선역이 영웅들에게 다 배움 무료연재,판타지,호로른,2024-06-04,2024-06-26,32,29,20,9.0,NaverSeries
711,느티나무 스치는 바람,로판,정제인,2024-04-10,2024-06-26,135,78,22,9.0,NaverSeries
712,네가 나를 터치한 순간,로맨스,rejoice,2024-05-09,2024-06-26,121,0,1,0.0,NaverSeries
713,슈팅 궤적이 다 보임,현판,닥터암,2023-10-07,2024-06-26,304,3654,14,8.7,NaverSeries
714,천재 조련사는 펫과 힐링합니다,현판,연진(連進),2024-05-31,2024-06-26,127,125,2,7.8,NaverSeries
715,전능의 눈을 얻었다,판타지,글첨지,2024-02-16,2024-06-26,213,174,6,8.7,NaverSeries
716,블랙기업조선,판타지,국뽕,2020-03-20,2024-06-26,1207,34813,202,9.6,NaverSeries
717,명문고 EX급 조연의 리플레이,판타지,기월월,2020-02-05,2024-06-26,1156,32009,166,9.9,NaverSeries
718,멕시코 제국 황태자가 되었다,판타지,폭우(暴雨),2024-02-02,2024-06-26,215,705,7,8.9,NaverSeries
719,무신들의 톡방에 초대되었다,무협,엉끼,2024-03-13,2024-06-26,156,429,1,9.0,NaverSeries
720,서울역 세종대왕,판타지,구사,2024-03-27,2024-06-26,169,1168,10,9.3,NaverSeries
721,선조의 머릿속이 꽃밭이다,판타지,드림판다,2024-03-29,2024-06-26,201,277,3,9.1,NaverSeries
722,천재 요리사의 환생,현판,에바트리체,2024-04-16,2024-06-26,235,95,0,9.9,NaverSeries
723,1500억을 받았다,현판,먼지운,2024-06-14,2024-06-26,117,233,3,7.7,NaverSeries
724,고려황제! 무신정변을 막아라!,판타지,차돌박E,2024-06-18,2024-06-26,187,44,0,8.4,NaverSeries
725,마도전생기,무협,codezero,2020-02-17,2024-06-26,935,40483,739,9.2,NaverSeries
726,천재 의사는 조용히 살기로 했다,현판,옆집고래,2023-10-17,2024-06-26,187,351,14,9.1,NaverSeries
727,알바생이 요리를 너무 잘함,현판,윤재,2024-03-14,2024-06-26,191,1378,15,9.7,NaverSeries
728,석기시대부터 시작하는 판타지,판타지,뚜근남,2024-04-01,2024-06-26,273,134,0,9.4,NaverSeries
729,1980 식하는 재벌!,현판,독성,2024-06-20,2024-06-26,176,2,1,8.8,NaverSeries
730,블랙배저,판타지,썬터다운,2023-08-30,2024-06-26,474,38374,538,9.9,NaverSeries
731,천마하라고 누가 칼들고 협박함,무협,크루크루,2023-04-18,2024-06-26,502,7455,40,9.3,NaverSeries
