,제목,장르,작가,조회수,댓글,연재수,연재 시작일,최신 연재일,평점
1077,무림최강 남궁세가 막내딸입니다,로맨스판타지,공라희,16770000,12000,578,2016-05-22,2026-06-24,9.8
1078,멍문세가를 호령하는 아기 고양이입니다,로맨스판타지,아울킴,2168000,1690,122,2015-06-24,2026-06-24,9.8
1079,악녀의 회귀자 갱생 플랜,로맨스판타지,김코끼리,1047000,779,100,2021-06-24,2026-06-24,9.8
1080,눈먼 공작과 약혼했다,로맨스판타지,콩작,12041000,9225,161,2014-04-24,2011-06-24,9.9
1081,나쁜 시녀들,로맨스판타지,자야,35467000,33000,295,2026-11-21,2015-05-24,10.0
1082,병아리반 헌터는 효도 중!,로맨스판타지,밀차,14447000,18000,226,2031-12-23,2026-06-24,9.9
1083,세 번 사는 악녀의 소소한 복수 플랜,로맨스판타지,달슬,8686000,5382,153,2004-05-24,2026-06-24,9.8
1084,무림세가 천대받는 손녀 딸이 되었다,로맨스판타지,마루별,110000000,58000,357,2031-12-20,2013-02-23,9.9
1085,"영웅은 됐어요, 은퇴라면 몰라도",로맨스판타지,MON쉘,9892000,6606,204,2006-11-22,2015-06-24,9.8
1086,이제 울어도 될까요?,로맨스판타지,유이란,9051000,10000,285,2018-10-23,2026-06-24,9.9
1087,엄마가 계약결혼 했다,로맨스판타지,시야,28692000,18000,171,2014-08-21,2004-01-23,9.8
1088,랭커를 위한 바른 생활 안내서,로맨스판타지,톄제,97649000,186000,477,2031-08-20,2025-06-24,9.9
1089,남편을 내 편으로 만드는 방법,로맨스판타지,냥이와향신료,30034000,25000,157,2029-12-19,2017-04-20,9.8
1090,아기님 캐시로 로판 달린다,로맨스판타지,주해온,60134000,65000,354,2010-10-20,2012-09-23,9.8
1091,BJ악역영애,로맨스판타지,한이림,15919000,29000,338,2016-09-22,2015-06-24,9.9
1092,악역 황녀님이 망할 기사단을 살림,로맨스판타지,Rana,3318000,2101,163,2030-04-24,2026-06-24,9.8
1093,살인귀 황태자를 교육하는 법,로맨스판타지,구운빵,554000,560,97,2019-06-24,2026-06-24,9.8
1094,일코하는 황녀님,로맨스판타지,양과람,7980000,7593,132,2018-11-23,2021-06-24,9.8
1095,점괘보는 공녀님,로맨스판타지,사이딘,74768000,53000,274,2003-06-22,2022-10-23,9.9
