,제목,장르,작가,지수,현대판타지,판타지,무협,대체역사,퓨전,스포츠,드라마,로맨스,게임,전쟁·밀리터리,일반소설,SF
98,말단 병사가 너무 강함,"판타지,퓨전",글택,464290,False,True,False,False,True,False,False,False,False,False,False,False
99,"치명적인 남자, 어게인 라이프!","현대판타지,드라마",울프21,463350,True,False,False,False,False,False,True,False,False,False,False,False
100,재벌 3세는 조용히 살고 싶다,현대판타지,SSDHDD,461350,True,False,False,False,False,False,False,False,False,False,False,False
101,귀농했는데 세계수로 미국식 농사,"현대판타지,판타지",노마(駑馬),457160,True,True,False,False,False,False,False,False,False,False,False,False
102,아포칼립스의 유일한 흑마법사가 되었다,"현대판타지,퓨전",BELF,456640,True,False,False,False,True,False,False,False,False,False,False,False
103,전지적 독자 시점,"현대판타지,판타지",싱숑,446870,True,True,False,False,False,False,False,False,False,False,False,False
104,고아인데 마법천재,판타지,찬동,446460,False,True,False,False,False,False,False,False,False,False,False,False
105,"조선, 혁명의 시대",대체역사,태사령,444760,False,False,False,True,False,False,False,False,False,False,False,False
106,억만장자가 된 미전실의 사냥개,"현대판타지,드라마",홈스탠바이,444310,True,False,False,False,False,False,True,False,False,False,False,False
107,귀농한 무한서고의 주인이 꿀빠는 법,"판타지,퓨전",[세인토],438280,False,True,False,False,True,False,False,False,False,False,False,False
108,폐급 배우가 상태창을 숨김,현대판타지,papapa.,434770,True,False,False,False,False,False,False,False,False,False,False,False
109,미국 로또로 역대급 재벌!,"판타지,현대판타지",강바기,431540,True,True,False,False,False,False,False,False,False,False,False,False
110,열혈 인생,현대판타지,동쪽사람,425940,True,False,False,False,False,False,False,False,False,False,False,False
111,임기 첫날에 게이트가 열렸다,"현대판타지,판타지",피아조아,425190,True,True,False,False,False,False,False,False,False,False,False,False
112,혈귀무쌍,"무협,판타지",강민성,424540,False,True,True,False,False,False,False,False,False,False,False,False
113,총통님 미국 가신다!,"대체역사,현대판타지",민초냥이,424330,True,False,False,True,False,False,False,False,False,False,False,False
114,미친 천재작가가 돌아왔다,"현대판타지,드라마",피자소주,424200,True,False,False,False,False,False,True,False,False,False,False,False
115,작곡천재의 멜로디,"현대판타지,드라마",나일함,422320,True,False,False,False,False,False,True,False,False,False,False,False
116,황금 귀의 프로듀서,"현대판타지,퓨전",무적푸딩,421770,True,False,False,False,True,False,False,False,False,False,False,False
117,1979 김부장이 독재를 계승 중입니다!,"현대판타지,대체역사",아아연하게,412680,True,False,False,True,False,False,False,False,False,False,False,False
118,무림 속 공무원으로 살아가는 법,"무협,퓨전",글쓰는기계,411750,False,False,True,False,True,False,False,False,False,False,False,False
119,회사 잘린 김에 음악천재 합니다,"현대판타지,일반소설",먹고땡,411420,True,False,False,False,False,False,False,False,False,False,True,False
120,1988 레트로 게임 재벌,현대판타지,Guybrush,407230,True,False,False,False,False,False,False,False,False,False,False,False
