	제목	장르	작가	장르1	장르2
134	회귀무적	무협,퓨전	행호사	무협	퓨전
135	내 조선에 척화비는 없다	대체역사,퓨전	히캣	대체역사	퓨전
136	회귀로 메이저리그 에이스가 되다	스포츠	이고난	스포츠	
137	선수 능력이 다 보임	스포츠,현대판타지	탈주병	스포츠	현대판타지
138	천재배우의 미친연기가 지렸다	현대판타지,판타지	늬파랑	현대판타지	판타지
139	폐교에서 다시 시작하는 신혼생활	현대판타지,라이트노벨	페이소	현대판타지	라이트노벨
140	회귀한 흑마법사는 평범하게 살고 싶다	현대판타지	수르코프	현대판타지	
141	검마전생기	무협,퓨전	한스그레텔	무협	퓨전
142	재벌집 막내가 돈을 막 씀	현대판타지,대체역사	테드K	현대판타지	대체역사
143	독고세가 구석에 무공 천재가 산다.	무협,퓨전	킹슬레이	무협	퓨전
144	방구석 타워 소환사	판타지,현대판타지	숙성연어	판타지	현대판타지
145	첫사랑과 이별후 작곡대박!	현대판타지,드라마	러데	현대판타지	드라마
146	금 수천 톤을 캐낸 회사원	현대판타지	드렁컨66	현대판타지	
147	백작가 서자가 무공으로 다 씹어먹음	판타지,무협	류도율	판타지	무협
148	역대급 축구 천재가 트로피를 싹쓸이함	스포츠,현대판타지	파란후드	스포츠	현대판타지
149	능력자들이 집착하는 천재 드라마감독	현대판타지,드라마	빅스톤	현대판타지	드라마
150	우주선으로 세상을 바꾸다	SF,현대판타지	다큐인생	SF	현대판타지
151	100레벨이 만렙이었을 텐데 999레벨로 각성했다	현대판타지,퓨전	l채병일l	현대판타지	퓨전
152	이세계를 대충 알고있어서	판타지,드라마	청잠바	판타지	드라마
153	멸국의 소드마스터	판타지,퓨전	망신창이	판타지	퓨전
154	조선기갑대전(朝鮮 機甲大戰) 시즌2	대체역사,전쟁·밀리터리	풍아저씨	대체역사	전쟁·밀리터리
155	아포칼립스의 SSS급 네크로맨서	현대판타지,판타지	limkun	현대판타지	판타지
156	삼국지 오환으로 도망친 원희	대체역사,현대판타지	물회	대체역사	현대판타지
157	괴물 천재배우가 데뷔함	현대판타지,드라마	돈많은도비	현대판타지	드라마
158	삼국지 : 유봉은 황제에는 관심없다.	대체역사,판타지	도령두령	대체역사	판타지
159	나혼자 각성	현대판타지,판타지	귀농재벌	현대판타지	판타지
160	아카데미 고인물이 업적을 다 먹음	판타지,게임	무곰곰	판타지	게임
161	카이저가 죽었다	대체역사,판타지	몰라젠장	대체역사	판타지
162	환생검선	무협,판타지	한량글	무협	판타지
163	2024, 작전명:원 코리아	대체역사,전쟁·밀리터리	선우선사	대체역사	전쟁·밀리터리
164	상점창 쓰는 천재 투수	스포츠,판타지	토스트말론	스포츠	판타지
165	나만 살기 좋은 아포칼립스	판타지,현대판타지	AKARU	판타지	현대판타지
166	시간을 달리는 변호사	현대판타지,판타지	치킨소년	현대판타지	판타지
167	1970 괴물 게임 개발자	현대판타지,대체역사	구조	현대판타지	대체역사
168	천재미드필더 삼촌의 미친패스가 지렸다	스포츠,현대판타지	늬파랑	스포츠	현대판타지
169	DMZ 만능 취사병이 되었다	현대판타지,판타지	95스피릿	현대판타지	판타지
170	사이비교주가 구원해드립니다	현대판타지,판타지	금물빛	현대판타지	판타지
171	이것이 야구혁명이다	스포츠,현대판타지	한유림	스포츠	현대판타지
172	천재 축구선수의 힐링 식당	현대판타지,판타지	R렉스	현대판타지	판타지
173	혈부천령	무협	화풍목	무협	
174	나는 예쁜 아내랑 농사짓고 정령 키우면서 알콩달콩 산다	판타지,퓨전	베르헤라	판타지	퓨전
175	타이(TIE)	판타지,퓨전	노병(老兵)	판타지	퓨전
176	귀농했더니 1조 재벌	현대판타지	어비윤	현대판타지	
177	삼국지: 손상향의 데릴남편이 되었다	대체역사,판타지	드링도흐	대체역사	판타지
178	천재 게임디렉터는 돈복사로 갓겜을 만든다	현대판타지,판타지	일그램	현대판타지	판타지
179	국가를 훔치다!	현대판타지,판타지	나정치	현대판타지	판타지
180	실혼무림	무협,대체역사	탄마	무협	대체역사
181	귀염뽀짝 아기부터 엔터생활	현대판타지,판타지	김의선	현대판타지	판타지
182	무역회사 인턴이 주식을 잘함.	현대판타지	대작박가	현대판타지	
183	어느 비룡 기수 이야기	판타지,스포츠	세그폴	판타지	스포츠
184	뉴욕 명문가의 데릴사위가 되었다	대체역사,전쟁·밀리터리	별가지깃발	대체역사	전쟁·밀리터리
185	F급 영지의 EX급 소드마스터	현대판타지,게임	물먹은의자	현대판타지	게임
186	초특급 재벌로 시작하는 인생 2회차	현대판타지,드라마	리얼탄산	현대판타지	드라마
187	나는 이렇게 천마가 되었다	무협	장연화	무협	
188	초능력, 투시수선전( 透視修仙傳)	무협,퓨전	구름다	무협	퓨전
189	회귀? 개꿈? 젠장. 회귀였다.	판타지	한번봐줘	판타지	
190	도술 쓰는 공작님	퓨전,판타지	이기준	퓨전	판타지
191	아포칼립스의 EX급 천재 저격수	현대판타지,판타지	퐉스	현대판타지	판타지
192	놀이공원에서 상태창이 생김	현대판타지,퓨전	린더	현대판타지	퓨전
193	무한으로 스탯 쌓는 고인물	판타지,게임	영구리94	판타지	게임
194	일대종사 천재 칼잡이	무협	가늴	무협	
195	돈지랄 과금헌터	현대판타지,퓨전	싸우전드	현대판타지	퓨전
196	중세 수계마법사로 살아남기	판타지	칸페이	판타지	
197	승룡전기(昇龍傳記)	무협	남진군	무협	
198	파괴불가 용병 서단우	현대판타지,판타지	지도무난	현대판타지	판타지
199	행운의 로또 당첨자	현대판타지,판타지	피자치킨	현대판타지	판타지
200	현실 무한성장 상태창	현대판타지,퓨전	아이스바인™	현대판타지	퓨전
